Date,State,Category,Dollars,LastYear
2021-04-25,Arizona,Alcohol,42819543,48452978
2021-05-02,Arizona,Alcohol,42762140,50623309
2021-05-09,Arizona,Alcohol,45801327,52222565
2021-05-16,Arizona,Alcohol,42446712,47585497
2021-05-23,Arizona,Alcohol,41846452,50874569
2021-05-30,Arizona,Alcohol,46976271,45711389
2021-06-06,Arizona,Alcohol,42398099,44137661
2021-06-13,Arizona,Alcohol,41209360,43584646
2021-06-20,Arizona,Alcohol,43057219,45704918
2021-06-27,Arizona,Alcohol,40834749,42453987
2021-07-04,Arizona,Alcohol,45861952,48743843
2021-07-11,Arizona,Alcohol,41769353,40756505
2021-07-18,Arizona,Alcohol,39491395,41148897
2021-07-25,Arizona,Alcohol,38517589,41384400
2021-08-01,Arizona,Alcohol,40238482,42548331
2021-08-08,Arizona,Alcohol,40120767,42231946
2021-08-15,Arizona,Alcohol,39629284,42115561
2021-08-22,Arizona,Alcohol,40507757,42459586
2019-10-06,Arkansas,Alcohol,6040821,5758826
2019-10-13,Arkansas,Alcohol,5815490,5458247
2019-10-20,Arkansas,Alcohol,5727015,5158548
2019-10-27,Arkansas,Alcohol,5541087,5182499
2019-11-03,Arkansas,Alcohol,5464440,5390718
2019-11-10,Arkansas,Alcohol,5558030,5238939
2019-11-17,Arkansas,Alcohol,5135309,5155017
2019-11-24,Arkansas,Alcohol,5428775,6257521
2019-12-01,Arkansas,Alcohol,6427238,4976919
2019-12-08,Arkansas,Alcohol,5129329,5058458
2019-12-15,Arkansas,Alcohol,5340312,5066417
2019-12-22,Arkansas,Alcohol,5736877,5804343
2019-12-29,Arkansas,Alcohol,6207965,5509285
2020-01-05,Arkansas,Alcohol,5806976,5283804
2020-01-12,Arkansas,Alcohol,4815712,4723189
2020-01-19,Arkansas,Alcohol,4845359,4849337
2020-01-26,Arkansas,Alcohol,4781707,4720579
2020-02-02,Arkansas,Alcohol,5199091,4996477
2020-02-09,Arkansas,Alcohol,4921248,4810900
2020-02-16,Arkansas,Alcohol,5307142,4938111
2020-02-23,Arkansas,Alcohol,5116249,4717225
2020-03-01,Arkansas,Alcohol,5436802,5007752
2020-03-08,Arkansas,Alcohol,5616834,4826166
2020-03-15,Arkansas,Alcohol,6278282,5126499
2020-03-22,Arkansas,Alcohol,6687752,5202369
2020-03-29,Arkansas,Alcohol,6101826,5142466
2020-04-05,Arkansas,Alcohol,6564399,5276935
2020-04-12,Arkansas,Alcohol,6674270,5371650
2020-04-19,Arkansas,Alcohol,6598440,5590683
2020-04-26,Arkansas,Alcohol,6960086,5664776
2020-05-03,Arkansas,Alcohol,7447970,5532256
2020-05-10,Arkansas,Alcohol,7469946,5511931
2020-05-17,Arkansas,Alcohol,6949995,5949383
2020-05-24,Arkansas,Alcohol,7879550,6578168
2020-05-31,Arkansas,Alcohol,7172082,6171015
2020-06-07,Arkansas,Alcohol,7473884,5822451
2020-06-14,Arkansas,Alcohol,7446632,6143321
2020-06-21,Arkansas,Alcohol,7388453,6195281
2020-06-28,Arkansas,Alcohol,7035028,6285333
2020-07-05,Arkansas,Alcohol,8414577,7706367
2020-07-12,Arkansas,Alcohol,6822569,6017035
2020-07-19,Arkansas,Alcohol,7006873,6147715
2020-07-26,Arkansas,Alcohol,6931482,6117859
2020-08-02,Arkansas,Alcohol,6699875,6142213
2020-08-09,Arkansas,Alcohol,6851821,5944063
2020-08-16,Arkansas,Alcohol,6616929,6070133
2020-08-23,Arkansas,Alcohol,6797226,5865607
2020-08-30,Arkansas,Alcohol,6466794,6465085
2020-09-06,Arkansas,Alcohol,6975254,6209126
2020-09-13,Arkansas,Alcohol,6747683,5912256
2020-09-20,Arkansas,Alcohol,6619293,5822599
2020-09-27,Arkansas,Alcohol,6293112,5787576
2020-10-04,Arkansas,Alcohol,6507222,6040821
2020-10-11,Arkansas,Alcohol,6466502,5815490
2020-10-18,Arkansas,Alcohol,6428911,5727015
2020-10-25,Arkansas,Alcohol,6234779,5541087
2020-11-01,Arkansas,Alcohol,5988322,5464440
